央视频道,#genre# 
冬奥纪实 高清,http://heb.jilu8.cn/PLTV/88888888/224/3221225729/index.m3u8
东方卫视 高清,http://heb.jilu8.cn/PLTV/88888888/224/3221225735/index.m3u8
广东卫视 高清,http://heb.jilu8.cn/PLTV/88888888/224/3221225736/index.m3u8
山东卫视 高清,http://heb.jilu8.cn/PLTV/88888888/224/3221225737/index.m3u8
纪实人文 高清,http://heb.jilu8.cn/PLTV/88888888/224/3221225738/index.m3u8
天津卫视 高清,http://heb.jilu8.cn/PLTV/88888888/224/3221225740/index.m3u8
深圳卫视 高清,http://heb.jilu8.cn/PLTV/88888888/224/3221225739/index.m3u8
网络频道,#genre# 
亚洲影院高清,http://39.134.178.121:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228365/42613673.smil/index.m3u8
欧洲影院高清,http://39.134.178.78:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228384/42613784.smil/index.m3u8
CHC家庭影院,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225927/index.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8
峨嵋电影,http://scgctvshow.sctv.com/hdlive/emei/1.m3u8
黄金剧场,http://live.hcs.cmvideo.cn:8088/wd_r3/virtuallive/5100172024/75/index.m3u8?&encrypt=
军旅剧场,http://live.hcs.cmvideo.cn:8088/wd_r2/virtuallive/5100180303/75/index.m3u8?&encrypt=
抗战老片,http://live.hcs.cmvideo.cn:8088/wd_r3/virtuallive/5100179384/75/index.m3u8?&encrypt=
少林剧场,http://live.hcs.cmvideo.cn:8088/wd_r3/virtuallive/5100179213/75/index.m3u8?&encrypt=
高清大片,http://live.hcs.cmvideo.cn:8088/wd_r3/cctv/gaoqingdapian/600/index.m3u8?&encrypt=
僵尸剧场,http://live.hcs.cmvideo.cn:8088/wd_r2/virtuallive/5100192783/75/index.m3u8?&encrypt=
怀旧老片,http://live.hcs.cmvideo.cn:8088/wd_r3/virtuallive/5100074916/75/index.m3u8?&encrypt=
武侠剧场,http://live.hcs.cmvideo.cn:8088/wd_r1/virtuallive/5101000755/75/index.m3u8?&encrypt=
精品网剧,http://live.hcs.cmvideo.cn:8088/wd_r1/virtuallive/5101000751/75/index.m3u8?&encrypt=
经典剧场,http://live.hcs.cmvideo.cn:8088/wd_r3/virtuallive/5100179383/75/index.m3u8?&encrypt=
精品剧场,http://live.hcs.cmvideo.cn:8088/wd_r1/2018/wasu/jpjc/1000/index.m3u8?&encrypt=
高分影院,http://live.hcs.cmvideo.cn:8088/wd_r1/virtuallive/5101000708/75/index.m3u8?&encrypt=
新片影院,http://live.hcs.cmvideo.cn:8088/wd-virtuallive5100030975-75/index.m3u8?&encrypt=
华视火爆,http://live.hcs.cmvideo.cn:8088/wd_r3/virtuallive/5100168805/75/index.m3u8?&encrypt=
成龙作品,http://live.hcs.cmvideo.cn:8088/wd_r2/virtuallive/5102010211/50/index.m3u8?&encrypt=
周星驰作品,http://live.hcs.cmvideo.cn:8088/wd_r3/virtuallive/5100144102/75/index.m3u8?&encrypt=
吴京作品,http://live.hcs.cmvideo.cn:8088/wd_r2/virtuallive/5100180867/75/index.m3u8?&encrypt=
刘德华作品,http://live.hcs.cmvideo.cn:8088/wd_r3/virtuallive/5102354855/75/index.m3u8?&&encrypt=
刘亦菲作品,http://live.hcs.cmvideo.cn:8088/wd_r2/virtuallive/5102010221/75/index.m3u8?&encrypt=
高圆圆作品,http://live.hcs.cmvideo.cn:8088/wd-virtuallive5100002172-75/index.m3u8?&encrypt=
古力娜扎作品,http://live.hcs.cmvideo.cn:8088/wd_r3/virtuallive/5100170828/75/index.m3u8?&encrypt=
刘涛作品,http://live.hcs.cmvideo.cn:8088/wd_r3/virtuallive/5100178547/75/index.m3u8?&encrypt=
金庸剧场,http://live.hcs.cmvideo.cn:8088/wd_r2/virtuallive/5100181876/75/index.m3u8?&encrypt=
神探狄仁杰,http://live.hcs.cmvideo.cn:8088/wd_r3/virtuallive/5100179816/75/index.m3u8?&encrypt=
神探狄仁杰B,http://120.226.57.41/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_shentandirenjie_1080p_t10/c16_lb_shentandirenjie_1080p_t10.m3u8
爱情公寓,http://live.hcs.cmvideo.cn:8088/wd_r2/virtuallive/5100180868/75/index.m3u8?&encrypt=
包青天,http://live.hcs.cmvideo.cn:8088/wd_r3/virtuallive/5100179054/75/index.m3u8?&encrypt=
天龙八部,http://live.hcs.cmvideo.cn:8088/wd_r2/virtuallive/5100180869/75/index.m3u8?&encrypt=
盗墓方法论,http://live.hcs.cmvideo.cn:8088/wd_r3/virtuallive/5100179159/75/index.m3u8?&encrypt=
BBC独播,http://live.hcs.cmvideo.cn:8088/wd_r3/virtuallive/5101074616/75/index.m3u8?&encrypt=
SNH48剧场,http://live.hcs.cmvideo.cn:8088/wd-virtuallive5100002043-75/index.m3u8?&encrypt=
风尚音乐,http://live.hcs.cmvideo.cn:8088/wd_r1/2018/wasu/fsyy/1000/index.m3u8?&encrypt=
高清娱乐,http://live.hcs.cmvideo.cn:8088/wd_r1/2018/wasu/zhpd/1000/index.m3u8?&encrypt=
爱好频道,#genre# 
爱江湖,http://101.71.255.229:6610/zjhs/2/10114/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱解密,http://101.71.255.229:6610/zjhs/2/10109/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱经典,http://101.71.255.229:6610/zjhs/2/10106/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱军武,http://101.71.255.229:6610/zjhs/2/10119/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱科幻,http://101.71.255.229:6610/zjhs/2/10113/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱历史,http://101.71.255.229:6610/zjhs/2/10120/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱美食,http://101.71.255.229:6610/zjhs/2/10108/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱奇谈,http://101.71.255.229:6610/zjhs/2/10103/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱时尚,http://101.71.255.229:6610/zjhs/2/10118/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱世界,http://101.71.255.229:6610/zjhs/2/10121/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱玩具,http://101.71.255.229:6610/zjhs/2/10117/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
